Issue Type,Summary,Description,Epic Link,Status,Priority,Story Points,Labels,Component,Sprint,Dependencies
Sub-task,Indexer embeddings,"Créer l'index ivfflat et valider les performances de recherche. **Index:** CREATE INDEX ON chunks USING ivfflat(embedding). **Critères:** Index créé, query <100ms",Étape 4 – Couche RAG,À faire,Low,1,database,apps/api,9,
Task,4.7 Tests ingestion multi-formats,"Valider l'ingestion et l'indexation des formats PDF, DOCX et TXT.",Étape 4 – Couche RAG,À faire,High,5,ai tests,apps/api,10,4.2
Sub-task,Indexer PDF de test,"Indexer un PDF de test et vérifier le nombre de chunks créés. **Fichier test:** sample.pdf (5 pages). **Critères:** PDF indexé, ~20 chunks créés",Étape 4 – Couche RAG,À faire,Low,2,ai tests,apps/api,10,
Sub-task,Indexer DOCX de test,"Indexer un DOCX de test et vérifier les métadonnées conservées. **Fichier test:** sample.docx. **Critères:** DOCX indexé, metadata (title, author) préservées",Étape 4 – Couche RAG,À faire,Low,2,ai tests,apps/api,10,
Sub-task,Indexer TXT de test,"Indexer un fichier TXT et valider la pipeline d'ingestion. **Fichier test:** sample.txt. **Critères:** TXT indexé, chunks cohérents",Étape 4 – Couche RAG,À faire,Low,1,ai tests,apps/api,10,
Task,4.8 Endpoints documents et query,"Exposer des endpoints pour uploader, lister et interroger les documents. **Fichier:** apps/api/api/v1/documents.py",Étape 4 – Couche RAG,À faire,High,5,backend ai,apps/api,10,4.5
Sub-task,Uploader un document,"Permettre l'upload d'un document et lancer l'indexation automatique. **Endpoint:** POST /api/v1/documents. **Critères:** Upload réussi, indexation lancée async",Étape 4 – Couche RAG,À faire,Low,2,backend,apps/api,10,
Sub-task,Interroger les documents,Permettre de poser une question et retourner une réponse sourcée. **Endpoint:** POST /api/v1/documents/query. **Critères:** Query retourne answer + sources,Étape 4 – Couche RAG,À faire,Low,2,backend ai,apps/api,10,
Sub-task,Lister les documents,"Permettre la liste des documents par tenant avec statut. **Endpoint:** GET /api/v1/documents. **Critères:** Liste paginée, filtrée par tenant",Étape 4 – Couche RAG,À faire,Low,1,backend,apps/api,10,
Task,4.9 Mesure qualité et latence,Mesurer la pertinence et la latence de la pipeline RAG pour définir un SLA.,Étape 4 – Couche RAG,À faire,High,5,ai tests,apps/api,10,4.8
Sub-task,Définir cas de test,Définir des questions de référence et réponses attendues pour l'évaluation. **Fichier:** tests/fixtures/rag_evaluation.json. **Critères:** 10+ Q&A de référence,Étape 4 – Couche RAG,À faire,Low,2,ai tests,apps/api,10,
Sub-task,Mesurer latence bout-en-bout,Mesurer la latence de retrieve + generate et comparer aux objectifs (<2s). **Benchmark:** 100 queries. **Critères:** Latence p95 <2s,Étape 4 – Couche RAG,À faire,Low,2,ai tests,apps/api,10,
Sub-task,Documenter résultats,Documenter les résultats et proposer des actions d'optimisation. **Document:** docs/rag-performance.md. **Critères:** Résultats documentés avec recommandations,Étape 4 – Couche RAG,À faire,Low,1,docs,docs,10,
Epic,Étape 5 – API Keys et Couche MCP,"Fournir une API MCP pour exposer des outils IA du backend utilisables par des applications tierces (N8N, Make, etc.). Le MCP est une interface du core, indépendante des extensions. Inclut également le système de gestion des clés API pour l'authentification machine à machine. **Référence:** API_KEYS.md",,À faire,High,,,backend ai,0,
Task,5.1 Registre MCP,Créer un registre interne permettant de déclarer des outils MCP via un décorateur Python. **Fichier:** apps/api/core/mcp/registry.py,Étape 5 – API Keys et Couche MCP,À faire,High,5,backend ai,apps/api,11,
Sub-task,Décorateur mcp_tool,"Créer le décorateur @mcp_tool pour déclarer des outils MCP. **Critères:** Décorateur @mcp_tool disponible, stockage des métadonnées",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,11,
Sub-task,Classe MCPRegistry,"Créer la classe centrale MCPRegistry pour gérer l'enregistrement des outils. **Critères:** Registry fonctionnel, outils enregistrés automatiquement",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,11,
Sub-task,Validation des paramètres,"Implémenter la validation des paramètres d'outils MCP. **Critères:** Validation types, gestion erreurs, messages clairs",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,11,
Task,5.2 Manifest MCP,"Exposer un manifest MCP listant les outils disponibles, compatible avec la spec MCP. **Endpoint:** GET /mcp/manifest",Étape 5 – API Keys et Couche MCP,À faire,High,3,backend ai,apps/api,11,5.1
Sub-task,Serializer du manifest,Créer le serializer pour générer le manifest au format MCP. **Critères:** Format JSON conforme spec MCP,Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,11,
Sub-task,Endpoint GET /mcp/manifest,"Exposer l'endpoint pour récupérer le manifest des outils disponibles. **Critères:** Endpoint accessible, liste complète des outils",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,11,
Sub-task,Tests unitaires manifest,"Créer des tests pour valider le format et le contenu du manifest. **Critères:** Tests passants, couverture >80%",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend tests,apps/api,11,
Task,5.3 Endpoint d'appel d'outils MCP,Créer le point d'entrée pour exécuter un outil MCP. **Endpoint:** POST /mcp/call,Étape 5 – API Keys et Couche MCP,À faire,High,5,backend ai,apps/api,11,5.1
Sub-task,Structure de requête,"Définir le schéma de requête pour appeler un outil MCP. **Critères:** Schema Pydantic avec validation, documentation OpenAPI",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,11,
Sub-task,Gestion erreurs / exceptions,"Implémenter la gestion robuste des erreurs lors de l'exécution d'outils. **Critères:** Erreurs catchées, messages clairs, codes HTTP appropriés",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,11,
Sub-task,Tests d'exécution,"Créer des tests end-to-end pour l'appel d'outils MCP. **Critères:** Tests pour cas nominal et erreurs, couverture complète",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend tests,apps/api,11,
Task,5.4 Outils MCP de base,Créer un ensemble d'outils internes utiles pour les applications tierces et marketplace.,Étape 5 – API Keys et Couche MCP,À faire,High,13,backend ai,apps/api,12,5.3
Sub-task,summarize_text,"Créer l'outil MCP pour résumer du texte. **Permission:** analyze. **Critères:** Outil fonctionnel, testé, documenté",Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend ai,apps/api,12,
Sub-task,rag_query,Créer l'outil MCP pour interroger la base de connaissances RAG. **Permission:** read. **Critères:** Requête RAG fonctionnelle avec sources,Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend ai,apps/api,12,4.8
Sub-task,analyze_pdf,"Créer l'outil MCP pour analyser un document PDF. **Permission:** analyze. **Critères:** Extraction contenu, métadonnées",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend ai,apps/api,12,
Sub-task,list_documents,"Créer l'outil MCP pour lister les documents d'un tenant. **Permission:** read. **Critères:** Liste paginée, filtrée par tenant",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,12,
Sub-task,get_usage_ia,"Créer l'outil MCP pour récupérer les statistiques d'usage IA. **Permission:** read. **Critères:** Stats tokens, coûts, latence",Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend ai,apps/api,12,3.3
Task,5.5 Permissions MCP,Ajouter des permissions dédiées aux outils MCP et les intégrer au système de permissions du core.,Étape 5 – API Keys et Couche MCP,À faire,High,5,backend security,apps/api,11,5.1
Sub-task,Définir permissions MCP,"Définir les permissions standards pour les outils MCP (read, write, analyze, delete). **Critères:** Permissions enregistrées dans le système",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,11,
Sub-task,Contrôles d'accès,"Implémenter les contrôles de permissions sur chaque appel MCP. **Critères:** Vérification avant exécution, erreurs 403 si manquant",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,11,
Sub-task,Tests de permissions,Créer des tests pour valider les contrôles d'accès. **Critères:** Tests pour accès autorisé et refusé,Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend tests,apps/api,11,
Task,5.6 Documentation MCP,"Documenter la spec MCP interne, les endpoints, les outils et comment en ajouter dans le core. **Dossier:** docs/mcp/",Étape 5 – API Keys et Couche MCP,À faire,High,5,docs,docs,13,5.4
Sub-task,docs/mcp/overview.md,"Créer la documentation générale du système MCP. **Contenu:** Architecture, concepts, flux. **Critères:** Doc complète et claire",Étape 5 – API Keys et Couche MCP,À faire,Low,2,docs,docs,13,
Sub-task,Exemples d'appel,"Créer des exemples d'utilisation des outils MCP. **Contenu:** Requêtes curl, exemples de réponses. **Critères:** 5+ exemples pratiques",Étape 5 – API Keys et Couche MCP,À faire,Low,2,docs,docs,13,
Sub-task,Schémas de flux MCP,"Créer des diagrammes illustrant les flux MCP. **Contenu:** Diagrammes de séquence, architecture. **Critères:** Flux clairement illustrés",Étape 5 – API Keys et Couche MCP,À faire,Low,1,docs,docs,13,
Task,5.7 Base de données et modèle API Keys,"Créer le schéma de base de données et les modèles SQLAlchemy pour stocker les API keys. **Référence:** API_KEYS.md section Schéma",Étape 5 – API Keys et Couche MCP,À faire,High,5,backend database security,apps/api,14,
Sub-task,Créer migration Alembic,"Créer la migration pour la table api_keys avec colonnes id, tenant_id, user_id, name, key_hash, permissions, created_at, last_used_at, ip_last_used, revoked_at. **Fichier:** migrations/versions/XXX_api_keys.py. **Critères:** Table créée avec indexes sur tenant_id, key_hash et revoked_at",Étape 5 – API Keys et Couche MCP,À faire,Low,2,database,apps/api,14,
Sub-task,Créer modèle SQLAlchemy,"Créer le modèle APIKey avec toutes les colonnes et relations. **Fichier:** apps/api/models/api_key.py. **Critères:** Modèle avec relations tenant et user, méthodes helper pour vérification",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend database,apps/api,14,
Sub-task,Créer schémas Pydantic,"Créer les schémas APIKeyCreate, APIKeyResponse, APIKeyUpdate pour validation. **Fichier:** apps/api/schemas/api_key.py. **Critères:** Schémas avec validation, champs optionnels gérés",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,14,
Task,5.8 Génération et hachage des clés,"Implémenter la génération sécurisée des API keys avec préfixe et hachage cryptographique. **Référence:** API_KEYS.md section Génération",Étape 5 – API Keys et Couche MCP,À faire,High,5,backend security,apps/api,14,5.7
Sub-task,Créer générateur de clés,"Créer la fonction generate_api_key avec préfixe sk_live_ et 32 caractères aléatoires sécurisés. **Fichier:** apps/api/core/auth/api_keys.py. **Lib:** secrets. **Critères:** Clés uniques, format sk_live_[32 chars]",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,14,
Sub-task,Implémenter hachage sécurisé,"Implémenter le hachage des clés avec bcrypt avant stockage. **Fonction:** hash_api_key, verify_api_key. **Lib:** passlib. **Critères:** Hash sécurisé, vérification fonctionnelle",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,14,
Sub-task,Valider unicité du hash,"Vérifier que le hash n'existe pas déjà en base avant création. **Critères:** Contrainte unique respectée, retry automatique si collision",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend database,apps/api,14,
Task,5.9 Authentification par API Key,"Implémenter le middleware d'authentification pour valider les API keys dans les requêtes. **Référence:** API_KEYS.md section Fonctionnement général",Étape 5 – API Keys et Couche MCP,À faire,High,8,backend security,apps/api,15,5.8
Sub-task,Créer dependency FastAPI,"Créer la dependency get_api_key pour extraire et valider la clé du header Authorization. **Fichier:** apps/api/core/auth/dependencies.py. **Critères:** Extraction Bearer token, validation format",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,15,
Sub-task,Implémenter vérification hash,"Vérifier le hash de la clé contre la base et charger les permissions. **Critères:** Hash vérifié, clé non révoquée, permissions chargées",Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend security,apps/api,15,
Sub-task,Mettre à jour métadonnées usage,"Mettre à jour last_used_at et ip_last_used à chaque utilisation. **Critères:** Timestamp et IP mis à jour automatiquement",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,15,
Sub-task,Gérer erreurs d'authentification,"Gérer les cas d'erreur (clé invalide, révoquée, expirée). **Critères:** Erreurs HTTP 401 avec messages clairs",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend security,apps/api,15,
Task,5.10 Système de permissions RBAC,"Intégrer les permissions des API keys avec le système RBAC existant. **Référence:** API_KEYS.md section Permissions associées",Étape 5 – API Keys et Couche MCP,À faire,High,5,backend security,apps/api,15,5.9
Sub-task,Créer vérificateur de permissions,"Créer la fonction check_api_key_permission pour vérifier les permissions avec support wildcards. **Fichier:** apps/api/core/auth/permissions.py. **Critères:** Wildcards * supportés, permissions hiérarchiques",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,15,
Sub-task,Créer dependency requires_permission,"Créer la dependency requires_permission pour protéger les endpoints. **Critères:** Dependency réutilisable, erreur 403 si permission manquante",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,15,
Sub-task,Valider isolation par tenant,"Vérifier que les permissions sont isolées par tenant_id. **Tests:** test_api_key_permissions.py. **Critères:** Pas de fuite cross-tenant, isolation validée",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend security tests,apps/api,15,
Task,5.11 Endpoints API CRUD,"Créer les endpoints REST pour gérer les API keys (création, liste, révocation, suppression). **Fichier:** apps/api/api/v1/api_keys.py",Étape 5 – API Keys et Couche MCP,À faire,High,8,backend,apps/api,16,5.10
Sub-task,Endpoint POST /api-keys,"POST /api-keys pour créer une nouvelle clé avec nom et permissions. **Critères:** Clé générée retournée en clair une seule fois, hash stocké",Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend,apps/api,16,
Sub-task,Endpoint GET /api-keys,"GET /api-keys pour lister toutes les clés du tenant avec métadonnées. **Critères:** Liste paginée, clé masquée (sk_live_***), métadonnées complètes",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,16,
Sub-task,Endpoint PATCH /api-keys/{id},"PATCH /api-keys/{id} pour modifier nom et permissions. **Critères:** Modification nom et permissions, hash non modifiable",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,16,
Sub-task,Endpoint DELETE /api-keys/{id},"DELETE /api-keys/{id} pour révoquer ou supprimer une clé. **Query param:** ?soft=true pour révocation. **Critères:** Suppression définitive ou révocation",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,16,
Task,5.12 Audit et traçabilité,"Créer le système d'audit pour tracer l'utilisation des API keys. **Référence:** API_KEYS.md section Audit et traçabilité",Étape 5 – API Keys et Couche MCP,À faire,High,5,backend security,apps/api,16,5.9
Sub-task,Créer table audit_logs,"Créer la table api_key_audit_logs pour tracer les accès. **Migration:** XXX_api_key_audit.py. **Colonnes:** id, api_key_id, endpoint, method, status_code, ip, created_at. **Critères:** Table avec indexes",Étape 5 – API Keys et Couche MCP,À faire,Low,2,database,apps/api,16,
Sub-task,Middleware d'audit,"Créer le middleware pour logger automatiquement chaque requête avec API key. **Critères:** Logs créés automatiquement, async pour performance",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,16,
Sub-task,Endpoint GET /api-keys/{id}/logs,"GET /api-keys/{id}/logs pour consulter l'historique d'utilisation. **Critères:** Liste paginée avec filtres date, status, endpoint",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,16,
Task,5.13 Interface admin - Liste et gestion,"Créer la page admin pour lister et gérer les API keys. **Dossier:** apps/admin/app/settings/api-keys/",Étape 5 – API Keys et Couche MCP,À faire,High,8,frontend,apps/admin,17,5.11
Sub-task,Page liste API keys,"Afficher la table des API keys avec colonnes nom, permissions, dernière utilisation, statut. **Page:** apps/admin/app/settings/api-keys/page.tsx. **Critères:** Table avec recherche, filtres, pagination",Étape 5 – API Keys et Couche MCP,À faire,Low,3,frontend,apps/admin,17,
Sub-task,Affichage des permissions,"Afficher les permissions sous forme de badges avec icônes. **Critères:** Badges colorés, tooltip avec détails",Étape 5 – API Keys et Couche MCP,À faire,Low,1,frontend,apps/admin,17,
Sub-task,Actions rapides,"Ajouter actions copier ID, révoquer, supprimer avec confirmations. **Critères:** Actions avec modals de confirmation",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,17,
Sub-task,Indicateurs d'usage,"Afficher indicateurs visuels (dernière utilisation, nb requêtes). **Critères:** Couleurs selon ancienneté, stats visibles",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,17,
Task,5.14 Interface admin - Création de clé,"Créer le modal de création de nouvelle API key avec affichage unique de la clé. **Référence:** API_KEYS.md section Gestion dans l'admin UI",Étape 5 – API Keys et Couche MCP,À faire,High,8,frontend,apps/admin,17,5.13
Sub-task,Modal formulaire création,"Créer le modal avec champs nom, propriétaire optionnel, sélecteur de permissions. **Critères:** Form validé, permissions multi-select",Étape 5 – API Keys et Couche MCP,À faire,Low,3,frontend,apps/admin,17,
Sub-task,Sélecteur de permissions,"Créer le composant de sélection de permissions avec catégories et wildcards. **Critères:** Arbre de permissions, wildcards supportés, validation",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,17,
Sub-task,Modal affichage clé générée,"Afficher la clé brute dans un modal sécurisé avec bouton copier et warning. **Critères:** Clé affichée une fois, copie clipboard, warning claire",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,17,
Sub-task,Validation et erreurs,"Gérer les erreurs de création et validation côté client. **Critères:** Messages d'erreur clairs, validation temps réel",Étape 5 – API Keys et Couche MCP,À faire,Low,1,frontend,apps/admin,17,
Task,5.15 Interface admin - Détails et audit,"Créer la page de détails d'une API key avec historique d'utilisation. **Page:** apps/admin/app/settings/api-keys/[id]/page.tsx",Étape 5 – API Keys et Couche MCP,À faire,High,8,frontend,apps/admin,18,5.12
Sub-task,Page détails clé,"Afficher toutes les informations de la clé (nom, créée le, dernière utilisation, permissions). **Critères:** Toutes métadonnées visibles, clé masquée",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,18,
Sub-task,Timeline d'utilisation,"Afficher la timeline des 50 dernières utilisations avec endpoint, status, IP. **Critères:** Timeline scrollable, filtres date",Étape 5 – API Keys et Couche MCP,À faire,Low,3,frontend,apps/admin,18,
Sub-task,Graphiques d'usage,"Afficher charts d'utilisation (requêtes par jour, endpoints utilisés). **Lib:** Recharts. **Critères:** 2+ charts, période configurable",Étape 5 – API Keys et Couche MCP,À faire,Low,2,frontend,apps/admin,18,
Sub-task,Actions de gestion,"Ajouter boutons modifier permissions, révoquer, réactiver, supprimer. **Critères:** Actions avec confirmations, feedback visuel",Étape 5 – API Keys et Couche MCP,À faire,Low,1,frontend,apps/admin,18,
Task,5.16 Tests et validation,"Créer les tests unitaires et d'intégration pour le système d'API keys. **Dossier:** apps/api/tests/",Étape 5 – API Keys et Couche MCP,À faire,High,8,backend tests security,apps/api,18,5.11
Sub-task,Tests génération et hachage,"Tester la génération de clés, l'unicité, le hachage et la vérification. **Fichier:** test_api_key_generation.py. **Critères:** 5+ tests passants, couverture >90%",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend tests,apps/api,18,
Sub-task,Tests authentification,"Tester l'authentification par API key (valide, invalide, révoquée). **Fichier:** test_api_key_auth.py. **Critères:** 8+ scénarios testés",Étape 5 – API Keys et Couche MCP,À faire,Low,3,backend tests security,apps/api,18,
Sub-task,Tests permissions RBAC,"Tester les permissions avec wildcards et isolation tenant. **Fichier:** test_api_key_rbac.py. **Critères:** Wildcards testés, isolation validée",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend tests security,apps/api,18,
Sub-task,Tests endpoints CRUD,"Tester tous les endpoints de gestion des API keys. **Fichier:** test_api_key_endpoints.py. **Critères:** CRUD complet testé, erreurs gérées",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend tests,apps/api,18,
Task,5.17 Documentation et exemples,"Créer la documentation complète pour l'utilisation des API keys avec exemples pratiques. **Dossier:** docs/",Étape 5 – API Keys et Couche MCP,À faire,High,5,docs,docs,18,5.11
Sub-task,Guide de démarrage rapide,"Créer un guide quick start pour créer et utiliser une API key. **Fichier:** docs/guides/api-keys-quickstart.md. **Critères:** Guide avec exemples curl, JavaScript",Étape 5 – API Keys et Couche MCP,À faire,Low,2,docs,docs,18,
Sub-task,Documentation permissions,"Documenter toutes les permissions disponibles et leur signification. **Fichier:** docs/api-keys-permissions.md. **Critères:** Liste exhaustive avec exemples",Étape 5 – API Keys et Couche MCP,À faire,Low,1,docs,docs,18,
Sub-task,Exemples intégrations,"Créer des exemples pour n8n, make, zapier, Scalar. **Dossier:** docs/examples/api-keys/. **Critères:** 4+ exemples pratiques",Étape 5 – API Keys et Couche MCP,À faire,Low,2,docs,docs,18,
Task,5.18 Rate limiting et quotas,"Implémenter le rate limiting et les quotas par API key pour prévenir les abus. **Fichier:** apps/api/core/rate_limit.py",Étape 5 – API Keys et Couche MCP,À faire,High,5,backend security,apps/api,19,5.9
Sub-task,Middleware rate limiting,"Créer le middleware de rate limiting par API key. **Lib:** slowapi ou Redis. **Critères:** Rate limit configurable par clé",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend security,apps/api,19,
Sub-task,Gestion des quotas,"Implémenter les quotas mensuels par API key (nb requêtes, tokens LLM). **Critères:** Quotas configurables, compteurs Redis",Étape 5 – API Keys et Couche MCP,À faire,Low,2,backend,apps/api,19,
Sub-task,Alertes dépassement,"Envoyer des alertes quand quota atteint 80% et 100%. **Critères:** Notifications envoyées, endpoint bloqué à 100%",Étape 5 – API Keys et Couche MCP,À faire,Low,1,backend,apps/api,19,
Epic,Étape 6 – Module Permissions & RBAC,"Implémenter un système de permissions avancé (RBAC v1.1) avec cache, hiérarchie, wildcards et audit trail. **Référence:** MODULE_PERMISSIONS.md",,À faire,High,,,backend security,0,
Task,6.1 Schéma DB permissions,"Créer les tables users, user_permissions, teams, permissions_audit. **Migration:** 005_permissions.py",Étape 6 – Module Permissions & RBAC,À faire,High,5,database backend,apps/api,12,2.2
Sub-task,Créer table users étendue,"Étendre la table users avec colonne role (super_admin, admin, manager, user, viewer). **Critères:** Table étendue, contrainte CHECK sur role",Étape 6 – Module Permissions & RBAC,À faire,Low,2,database,apps/api,12,
Sub-task,Créer table user_permissions,"Créer la table user_permissions (id, user_id, permission, granted_by, expires_at, conditions). **Critères:** Table créée avec FK et indexes",Étape 6 – Module Permissions & RBAC,À faire,Low,1,database,apps/api,12,
Sub-task,Créer table permissions_audit,"Créer la table permissions_audit pour tracer les changements. **Critères:** Table avec colonnes action, old_value, new_value, performed_by",Étape 6 – Module Permissions & RBAC,À faire,Low,1,database,apps/api,12,
Sub-task,Créer tables teams,"Créer les tables teams, user_teams, team_permissions pour gestion équipes. **Critères:** 3 tables créées avec relations correctes",Étape 6 – Module Permissions & RBAC,À faire,Low,1,database,apps/api,12,
Task,6.2 Middleware permissions,Créer le middleware avec cache TTL et hiérarchie implicite. **Fichier:** apps/api/core/permissions/middleware.py,Étape 6 – Module Permissions & RBAC,À faire,High,8,backend security,apps/api,12,6.1
Sub-task,Implémenter cache TTL,"Créer le système de cache en mémoire avec TTL 5min. **Fichier:** apps/api/core/permissions/cache.py. **Critères:** Cache fonctionnel, invalidation possible",Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,12,
Sub-task,Implémenter hiérarchie,Créer le système de hiérarchie implicite des permissions. **Fichier:** apps/api/core/permissions/hierarchy.py. **Critères:** Expansion automatique des permissions,Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,12,
Sub-task,Implémenter wildcards,"Créer la logique de matching avec wildcards (*). **Fonction:** has_permission. **Critères:** Wildcards fonctionnels, tests passants",Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,12,
Sub-task,Décorateur require_permission,"Créer le décorateur @require_permission pour protéger les endpoints. **Critères:** Décorateur fonctionnel, erreur 403 si permission manquante",Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,12,
Task,6.3 Service de gestion permissions,Créer le service pour assigner/révoquer permissions et tracer dans audit. **Fichier:** apps/api/core/permissions/service.py,Étape 6 – Module Permissions & RBAC,À faire,High,5,backend security,apps/api,13,6.2
Sub-task,Fonctions grant/revoke,Créer les fonctions pour accorder et révoquer des permissions. **Critères:** Fonctions avec invalidation cache et audit trail,Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,13,
Sub-task,Audit trail automatique,Enregistrer automatiquement chaque changement de permission. **Critères:** Log créé à chaque modification,Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend,apps/api,13,
Sub-task,Gestion expirations,Implémenter la logique de permissions temporaires avec expires_at. **Critères:** Permissions expirées non comptées,Étape 6 – Module Permissions & RBAC,À faire,Low,1,backend,apps/api,13,
Task,6.4 Tests unitaires permissions,Créer une suite de tests complète pour le module permissions. **Dossier:** apps/api/tests/permissions/,Étape 6 – Module Permissions & RBAC,À faire,High,5,backend tests,apps/api,13,6.3
Sub-task,Tests wildcards,"Tester tous les cas de wildcards (*.*.*, documents.*.own, etc.). **Critères:** 10+ tests passants",Étape 6 – Module Permissions & RBAC,À faire,Low,2,backend tests,apps/api,13,
Sub-task,Tests hiérarchie,Tester l'expansion automatique des permissions. **Critères:** Vérifier que delete.all → write.all → read.all,Étape 6 – Module Permissions & RBAC,À faire,Low,1,backend tests,apps/api,13,
Sub-task,Tests cache,"Tester le cache TTL et l'invalidation. **Critères:** Cache fonctionnel, invalidation testée",Étape 6 – Module Permissions & RBAC,À faire,Low,1,backend tests,apps/api,13,
Sub-task,Tests audit trail,Tester l'enregistrement des modifications. **Critères:** Logs créés pour chaque action,Étape 6 – Module Permissions & RBAC,À faire,Low,1,backend tests,apps/api,13,
Task,6.5 Interface admin permissions,Créer les pages admin pour gérer les utilisateurs et permissions. **Dossier:** apps/admin/app/permissions/,Étape 6 – Module Permissions & RBAC,À faire,High,8,frontend,apps/admin,13,6.3
Sub-task,Page liste utilisateurs,"Afficher la table des utilisateurs avec rôle et permissions. **Composants:** DataTable shadcn/ui. **Critères:** Liste paginée, recherche",Étape 6 – Module Permissions & RBAC,À faire,Low,3,frontend,apps/admin,13,
Sub-task,Modal édition utilisateur,"Créer le modal pour changer rôle et ajouter permissions custom. **Critères:** Form validé, mise à jour en temps réel",Étape 6 – Module Permissions & RBAC,À faire,Low,3,frontend,apps/admin,13,
Sub-task,Timeline audit,"Afficher l'historique des modifications de permissions. **Composant:** AuditTimeline. **Critères:** Chronologie visible, 5 derniers changements",Étape 6 – Module Permissions & RBAC,À faire,Low,2,frontend,apps/admin,13,
Epic,Étape 7 – Contexte Entreprise (Kernel),"Implémenter le système de contexte entreprise permanent et vectorisé, injecté dans tous les prompts IA. **Référence:** CONTEXTE_ENTREPRISE.md",,À faire,High,,,backend ai,0,
Task,7.1 Modèle de données contexte,Créer les tables pour stocker les blocs de contexte. **Migration:** 006_contexte_entreprise.py,Étape 7 – Contexte Entreprise (Kernel),À faire,High,5,database backend,apps/api,13,
Sub-task,Table blocs identité,"Créer la table context_identity_blocks (id, tenant_id, type, title, content, importance, order). **Critères:** Table créée avec indexes",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,database,apps/api,13,
Sub-task,Table vocabulaire,"Créer la table context_vocabulary (id, tenant_id, term, definition, category, synonyms, notes). **Critères:** Table avec index sur term",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,database,apps/api,13,
Sub-task,Table style,"Créer la table context_style (id, tenant_id, tone, presentation, writing_style, level). **Critères:** Une seule ligne par tenant",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,database,apps/api,13,
Sub-task,Table règles globales,"Créer la table context_rules (id, tenant_id, type, title, content, importance, applied_to, mode). **Critères:** Table avec statut actif/désactivé",Étape 7 – Contexte Entreprise (Kernel),À faire,Low,1,database,apps/api,13,
